Team,Year,G,W,L,W-L%,SRS,SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Team Points,Opp Points,FG%,3P%,FT%,Home win rate,Away win rate,Conference win rate,Point diff %,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM,Seed,Made Round of 16
Louisiana,2023,34,26,8,0.765,4.27,-0.51,13,5,14,0,7,7,2630,2362,0.482,0.376,0.682,1,0.5,0.72,0.11,8.51,111.4,102.9,68.3,0.06,0.03,104,104,0.04,13,0
Marquette,2023,36,29,7,0.806,17.07,8.01,17,3,16,1,9,4,2856,2530,0.486,0.353,0.718,0.94,0.69,0.85,0.13,22.38,119.1,96.7,68.1,0.009,9.31,109.5,100.2,-1.15,2,0
Maryland,2023,35,22,13,0.629,14.58,8.35,11,9,16,1,2,9,2440,2222,0.448,0.328,0.732,0.94,0.18,0.55,0.1,17.99,113.5,95.6,64.2,-0.023,8.94,109.5,100.5,-3.9,8,0
Memphis,2023,35,26,9,0.743,14.5,6.9,13,5,13,2,7,5,2778,2512,0.479,0.353,0.747,0.87,0.58,0.72,0.11,18.53,114.6,96.1,71.1,-0.051,7.27,108.2,101,5.98,8,0
Miami (FL),2023,37,29,8,0.784,13.98,6.84,15,5,16,1,7,4,2925,2661,0.48,0.368,0.784,0.94,0.64,0.75,0.1,17.94,119.1,101.2,68.8,0.027,7.3,108.8,101.5,-2.67,5,1
Michigan State,2023,34,21,13,0.618,14.25,11.25,11,8,12,2,5,7,2411,2309,0.452,0.393,0.759,0.86,0.42,0.58,0.04,17.61,114.2,96.6,64.7,0.011,12.57,112.1,99.5,5.45,7,1
Mississippi State,2023,34,21,13,0.618,11.43,6.69,8,10,12,4,4,6,2234,2073,0.421,0.266,0.647,0.75,0.4,0.44,0.08,13.49,104.8,91.4,63.6,-0.008,6.98,108,101,-3.89,11,0
Missouri,2023,35,25,10,0.714,11.41,6.89,11,7,16,3,5,5,2762,2604,0.472,0.36,0.758,0.84,0.5,0.61,0.06,13.07,118.3,105.3,68.7,0.107,7.33,107.7,100.3,-5.09,7,0
Montana State,2023,35,25,10,0.714,2.18,-1.43,15,3,12,1,10,5,2588,2342,0.469,0.336,0.754,0.92,0.67,0.83,0.11,5.49,105.1,99.6,66.3,0.076,-0.89,106,106.8,4.17,14,0
NC State,2023,34,23,11,0.676,12.5,5.58,12,8,15,2,4,6,2643,2408,0.45,0.347,0.722,0.88,0.4,0.6,0.1,13.55,113.6,100,69,0.02,5.5,108.5,103,-5.02,11,0
Nevada,2023,33,22,11,0.667,10.01,6.41,12,6,14,1,6,7,2397,2238,0.445,0.351,0.792,0.93,0.46,0.67,0.07,12.74,111.8,99.1,65.9,0.033,6.98,108.6,101.7,3.34,11,0
Northern Kentucky,2023,35,22,13,0.629,-0.83,-2.89,14,6,14,3,6,6,2372,2224,0.426,0.342,0.696,0.82,0.5,0.7,0.07,0.65,102.8,102.2,62,0.046,-3.56,104.3,107.9,4.03,16,0
Northwestern,2023,34,22,12,0.647,13.68,8.71,12,8,13,5,7,4,2303,2134,0.407,0.321,0.757,0.72,0.64,0.6,0.08,15.59,109.9,94.3,64.4,0.025,9.29,109.3,100.1,-4.28,7,0
Oral Roberts,2023,35,30,5,0.857,8.55,-2.84,18,0,16,0,11,4,2915,2458,0.474,0.365,0.774,1,0.73,1,0.19,11.65,113.9,102.2,70.2,0.11,-4.02,103.8,107.8,7.06,12,0
Penn State,2023,37,23,14,0.622,13.04,9.02,10,10,13,4,4,7,2673,2524,0.463,0.387,0.739,0.76,0.36,0.5,0.06,16.04,117.2,101.1,64.3,-0.003,10.08,109.5,99.4,-4.9,10,0
Pittsburgh,2023,36,24,12,0.667,10.59,5.2,14,6,14,3,7,5,2704,2510,0.447,0.36,0.759,0.82,0.58,0.7,0.08,12.86,114.2,101.3,67.3,0.031,5.1,108.2,103.1,-2.73,11,0
Princeton,2023,32,23,9,0.719,4.76,-0.97,10,4,12,3,7,4,2416,2192,0.455,0.342,0.712,0.8,0.64,0.71,0.1,8.04,109.5,101.5,66.9,0.027,-0.43,104.6,105,-4.86,15,1
Providence,2023,33,21,12,0.636,12.89,6.55,13,7,15,2,6,6,2552,2343,0.456,0.346,0.742,0.88,0.5,0.65,0.09,15.39,116.2,100.8,66.7,-0.018,7.6,108.6,101,-8.75,11,0
Purdue,2023,35,29,6,0.829,18.23,8.31,15,5,14,2,8,3,2543,2196,0.457,0.322,0.744,0.88,0.73,0.75,0.16,23.24,117.7,94.5,64.2,0.021,9.17,110.1,100.9,0.71,1,0
Saint Mary's (CA),2023,35,27,8,0.771,17.41,7.18,14,2,16,2,6,2,2473,2105,0.455,0.365,0.694,0.89,0.75,0.88,0.17,21.24,112.6,91.4,61.6,0.006,6.45,109.7,103.2,3.94,5,0
San Diego State,2023,39,32,7,0.821,15.81,8.92,15,3,15,1,8,2,2775,2475,0.438,0.348,0.722,0.94,0.8,0.83,0.12,20.34,110.8,90.4,65.7,0.075,9.58,110.4,100.8,6.8,5,1
Southeast Missouri State,2023,36,19,17,0.528,-7.4,-6.81,10,8,9,4,5,11,2789,2734,0.437,0.327,0.709,0.69,0.31,0.56,0.02,-7.21,100.5,107.7,72.3,0.015,-7.68,101.2,108.9,0.52,16,0
Southern California,2023,33,22,11,0.667,13.06,8,14,6,15,2,5,5,2391,2224,0.455,0.345,0.745,0.88,0.5,0.7,0.08,14.85,112.3,97.5,68,0.013,7.6,107.2,99.6,1.15,10,0
TCU,2023,35,22,13,0.629,15.61,8.78,9,9,13,4,3,7,2634,2395,0.453,0.31,0.699,0.76,0.3,0.5,0.1,17.78,112.1,94.3,69.7,-0.036,10.71,109.7,99,-7.52,6,0
Tennessee,2023,36,25,11,0.694,20.84,7.98,11,7,14,2,4,6,2547,2084,0.433,0.329,0.708,0.88,0.4,0.61,0.22,23.8,111.3,87.5,65.1,-0.063,8.69,109.2,100.5,2.76,4,1
Texas,2023,38,29,9,0.763,20.56,10.43,12,6,17,1,4,6,2963,2578,0.473,0.347,0.748,0.94,0.4,0.67,0.15,24.43,116.5,92.1,68.8,0.017,11.91,111.1,99.2,-0.76,2,1
Texas A&M,2023,35,25,10,0.714,13.76,7.42,15,3,15,1,7,4,2549,2327,0.432,0.326,0.759,0.94,0.64,0.83,0.1,16.71,113.7,97,65.9,0.045,7.3,108.3,101,-2.99,7,0
Texas A&M-Corpus Christi,2023,35,24,11,0.686,-2.57,-7.02,14,4,13,2,8,7,2803,2561,0.451,0.364,0.792,0.87,0.53,0.78,0.09,-0.48,107.1,107.6,69,0.031,-8.63,100.9,109.6,1.13,16,0
Texas Southern,2023,35,14,21,0.4,-10.56,-5.05,7,11,7,6,3,13,2422,2518,0.427,0.277,0.664,0.54,0.19,0.39,-0.04,-11.16,95.4,106.6,69.1,0.028,-5.47,100.5,106,10.37,16,0
UC Santa Barbara,2023,35,27,8,0.771,3.3,-2.03,15,5,12,3,10,4,2510,2305,0.493,0.35,0.727,0.8,0.71,0.75,0.09,5.68,110.3,104.6,64.7,0.072,-2.53,102.7,105.2,-3.31,14,0
UCLA,2023,37,31,6,0.838,22.11,8.66,18,2,17,0,9,2,2743,2245,0.46,0.349,0.731,1,0.82,0.9,0.22,27.29,115.2,88,66.1,-0.009,8.7,109.2,100.5,0.15,2,1
UNC Asheville,2023,35,27,8,0.771,-1.74,-4.35,16,2,13,0,10,6,2604,2418,0.475,0.388,0.694,1,0.63,0.89,0.08,1.22,104,102.7,68.3,0.18,-4.62,102.7,107.3,-0.7,15,0
Utah State,2023,35,26,9,0.743,14.23,6.81,13,5,14,2,6,4,2736,2446,0.479,0.387,0.763,0.88,0.6,0.72,0.12,17.39,116.3,98.9,68.6,0.006,6.84,108.4,101.5,2.87,10,0
Vermont,2023,34,23,11,0.676,1.63,-3.13,14,2,13,1,9,6,2471,2276,0.474,0.358,0.697,0.93,0.6,0.88,0.09,5.33,109.5,104.2,64.4,0.049,-3.01,103.5,106.5,5.54,15,0
Virginia,2023,33,25,8,0.758,13.28,5.98,15,5,15,1,6,5,2237,1996,0.449,0.35,0.703,0.94,0.55,0.75,0.12,16.37,110.8,94.5,61.5,0.027,5.73,108.4,102.7,1.52,4,0
Virginia Commonwealth,2023,35,27,8,0.771,9.89,1.95,15,3,15,3,8,3,2480,2202,0.463,0.348,0.696,0.83,0.73,0.83,0.13,12.84,106.6,93.8,67.9,0.02,0.79,105,104.2,-1.77,12,0
West Virginia,2023,34,19,15,0.559,15.95,10.89,7,11,13,4,3,8,2583,2411,0.452,0.35,0.743,0.76,0.27,0.39,0.07,18.82,116.9,98.1,68.5,-0.068,12.45,110.5,98.1,2.18,9,0
Xavier,2023,37,27,10,0.73,16.03,9.16,15,5,15,2,7,4,2995,2741,0.492,0.39,0.71,0.88,0.64,0.75,0.09,19.95,118.5,98.6,70.5,0.005,10.42,110.3,99.9,3.4,3,1
